,Date,Open,High,Low,Close,Volume,Returns,MovingAverage_50,MovingAverage_200,VolumeChange,CAPM,HighCloseRange,LowCloseRange,Volatility,RSI,Momentum,VolumeMovingAverage_10
199,2011-04-12,1.6720000505447388,1.6806670427322388,1.6200000047683716,1.6433329582214355,20361000,-0.0245354323599097,1.5972933530807496,1.5817566722631455,-0.0087629618811158,0.0199048952397828,-0.0039999485015869,0.0646669864654541,0.0404446919759114,59.918658540468,0.0486660003662109,45251850.0
200,2011-04-13,1.675333023071289,1.7126669883728027,1.6540000438690186,1.6619999408721924,18172500,0.0113592212444639,1.5986533522605897,1.5821033370494844,-0.1074848975983497,0.0199815477441648,0.0693340301513671,-0.010667085647583,0.0391112963358561,60.43336110737187,0.0813329219818115,45234150.0
201,2011-04-14,1.6579999923706057,1.685333013534546,1.613332986831665,1.6759999990463257,14751000,0.0084236213430828,1.6002533531188965,1.5825400018692015,-0.1882789929839042,0.0199752788137891,0.0233330726623535,0.0486669540405273,0.0480000178019205,59.75507897151502,-0.1740000247955322,29432550.0
202,2011-04-15,1.7100000381469729,1.745332956314087,1.694000005722046,1.7053329944610596,14152500,0.0175017872502534,1.6028533530235292,1.5837466669082645,-0.0405735204392923,0.019994665103448,0.0693329572677612,-0.0180000066757202,0.0342219670613606,59.55699336848393,-0.0720000267028808,26550600.0
203,2011-04-18,1.675333023071289,1.7079999446868896,1.6239999532699585,1.668666958808899,15508500,-0.0215008070395942,1.6049466919898987,1.58569000184536,0.0958134605193428,0.0199113756374829,0.00266695022583,0.081333041191101,0.0559999942779541,54.59818160727358,-0.053333044052124,24187500.0
204,2011-04-19,1.684000015258789,1.684000015258789,1.6433329582214355,1.6773329973220823,8230500,0.0051933901294296,1.6077333521842956,1.588706666827202,-0.4692910339491246,0.0199683807025832,0.0153330564498901,0.0253340005874633,0.0271113713582356,56.046672452154525,-0.1026669740676879,20239200.0
205,2011-04-20,1.713333010673523,1.7393330335617063,1.6866669654846191,1.7166670560836792,12558000,0.0234503576954574,1.60941335439682,1.5920233368873595,0.5257882267176963,0.0200073681880673,0.062000036239624,-0.0093339681625366,0.0351107120513916,38.29042494920342,-0.0493329763412475,19562550.0
206,2011-04-21,1.7233330011367798,1.7986669540405271,1.7059999704360962,1.78266704082489,20791500,0.0384465843317225,1.6141200351715088,1.5951166719198226,0.655637840420449,0.0200393924092959,0.0819998979568481,0.010667085647583,0.0617779890696207,50.47399515040832,-0.0333329439163208,17426250.0
207,2011-04-25,1.7799999713897705,1.781999945640564,1.7313330173492432,1.7593330144882202,12013500,-0.0130893912336387,1.6183466958999633,1.5981133371591567,-0.4221917610562008,0.0199293380921156,-0.0006670951843261,0.0513340234756469,0.0337779521942138,53.51755497738096,-0.0066670179367065,15708000.0
208,2011-04-26,1.7773330211639404,1.816666960716248,1.753999948501587,1.7953330278396606,21000000,0.0204623076216827,1.6232533574104309,1.6014066672325131,0.7480334623548508,0.0200009872511206,0.0573339462280273,0.0053330659866333,0.041778008143107,51.50717985361643,0.1106660366058349,15753900.0
